"run","learner_id","completed","steps_visited","steps_completed"
"1","6fbc44bd-c18f-4a1f-930c-1f82c243ec96",0,0,0
"1","fc0f7b5a-ebba-478b-aedf-63d71bdcc319",0,0,0
"1","05b8a96f-9de7-48cd-9bab-dedba666ac58",0,8,6
"1","73765fc4-878e-4430-a650-b5b2de616fd4",0,22,19
"1","59aeb74b-30d6-458d-8111-d22710e16523",1,0,0
"1","9f249cab-2182-4638-94fd-fb75fb164cc1",0,0,0
"1","2f1211e0-f4d6-423f-9a97-459cbac557d9",1,28,28
"1","be95b4e6-9d07-4904-9302-6a22d2ee78c3",0,0,0
"1","88726dc7-d420-49fa-924c-4a08ad23ea5b",0,0,0
"1","8741983d-97d8-4965-9481-d0687f08b931",1,60,60
"1","c7c15e0c-0404-488f-88b2-6927889b443c",0,10,6
"1","ae02dfc3-ed7a-4774-bde4-94f6d9ed70bd",0,0,0
"1","d2c4a75e-abff-47a4-9dce-595326c18d91",0,3,3
"1","f0084790-fd34-4a34-accf-aab49e4a0960",0,4,3
"1","e8b5fbd8-3e9c-461a-a8b4-a62ce3505d42",0,0,0
"1","90688112-e344-40a8-a678-2c285d64e902",0,0,0
"1","3b26015a-6ee0-4c58-8298-458d209bc06c",0,4,2
"1","dfd158f9-7434-483f-8d29-a0e407a01d85",0,0,0
"1","152393b6-9a4e-4ade-bb36-f0a891d24776",1,60,60
"1","56f97c3a-f152-43e4-9942-d3f6692edf8e",1,60,60
"1","19819229-dbc3-4dab-987a-9777f3ebcd76",0,2,0
"1","b83a8030-9cdd-40ee-9f46-b07c78f21f6c",0,0,0
"1","eb5807d0-ebb9-4a0b-aeaf-f12e2c09f167",0,0,0
"1","e2b29b64-f72e-477d-bc4b-fbe3a1485ceb",1,60,60
"1","2248fb78-1150-40af-80f1-3d3ccf64cf3b",1,60,59
"1","3e7c5676-4dae-42b0-8b99-812acc6eeb6c",0,0,0
"1","d99ba670-52ca-4fae-8a36-f9988c95bb84",0,1,0
"1","ac23ed2c-adcc-4a90-bf34-edfe018c5651",0,7,6
"1","aafc3e49-ab9a-4173-afe1-f1a7a3802c28",0,0,0
