"run","learner_id","steps_visited","steps_completed"
"1","03b6c7cd-d3b9-4ebf-9bba-7771d8efab58",57,47
"1","03bd6b52-c04a-4f2e-a29c-6b1b119f68b4",13,11
"1","03be3376-c33b-4b15-8d31-81fa486f4a3f",2,1
"1","03c193df-23df-490e-a4e6-52ba9a91cc06",52,51
"1","03c79a24-79bf-4cb0-b46e-95a7a5d3478d",2,1
"1","03cbaca7-0f70-4c01-a8c6-aeb36de8bcc5",1,0
"1","03cc61f5-1d63-43f6-aeb6-5d7a8a07d604",52,50
"1","03e5c0fa-633e-4d6e-857a-c1fd98f7e6e8",60,0
"1","03ea891c-2b80-4588-83d4-fe17233d69c1",1,0
"1","03eae0f2-5c39-4b62-a693-b6ec6dbe53d5",1,0
"1","03eec937-ead4-4e9d-96e9-3d8075cf1750",13,13
"1","03fa8ddd-4435-4976-8adb-6fcdee96da28",60,60
"1","041c69b3-e57a-42ba-ac3e-f7af369c7b61",4,3
"1","041f9d46-ef1a-449d-90df-9f7c675a5168",6,3
"1","04298751-a785-4c8e-ac75-964006b30249",4,3
"1","043e1efb-4643-416c-bcbd-67ead66db4d5",3,2
"1","0443fe01-f5e1-431b-a6d0-99c3acd14c14",17,15
"1","044bc815-7d08-4ec0-881c-bd577847ba37",1,0
"1","04501eaa-d079-4fd6-833a-5dbfdd187cad",1,0
"1","0450fd04-c779-4908-a61b-bccaba78deda",60,60
"1","04546a22-7825-420f-ab7a-06bd8c5e7896",60,58
"1","045a27b4-6aba-46bc-95b4-f33e3d99566c",18,18
"1","046b5c66-cd50-49e5-93d2-762a3e43d95d",60,5
"1","046f9ff2-d82d-4286-87b3-da7b5c675a82",5,0
"1","047094ce-15df-4327-814c-3041a8b1ceed",60,60
"1","047a1131-e761-4bc7-a4a6-9378342bacdb",3,1
"1","049a33e6-b1b2-427d-a739-46b69013412f",60,60
"1","04ac104a-b513-42c8-bc6e-01131d07b1e5",18,18
"1","04ae7cee-e51f-4d26-bad3-f8c187b34ff2",3,2
"1","04b192d7-012c-4dc7-a116-116b67930989",15,14
"1","04b259d4-dc32-4f22-92dc-6d034cb37a40",3,0
"1","04c10507-f8af-4807-bf74-671151561eaa",2,1
"1","04c6a8bd-0343-4a1f-86d0-b2840a73d8fb",4,0
"1","04c787fa-7920-4c94-a418-b5703561c7bd",60,59
"1","04ce6d7d-bc3c-4878-952e-4d7af9c6e2f3",2,0
"1","04da3863-5fe8-480a-a7d3-77df1eda2da9",2,1
"1","04dfd6bb-0f87-4cd5-acee-1ec5521e816b",60,60
"1","04e48e02-bac2-4c20-92b5-b3bb47ceb0bd",50,50
"1","04f5dc54-62f5-4de6-a182-37b00087d6af",60,60
"1","04faf3a7-84a2-46ac-a85d-6948e5a3400e",2,0
"1","050931af-67fd-40d6-8990-58d62e0e31a0",39,39
"1","051607d5-cb18-43f5-953a-9f40e6d94f7f",2,0
"1","0520c8ef-1e22-4200-9a00-d1f80fce0fb2",2,1
"1","05294c53-a274-40e4-be21-cbada70d603e",4,4
"1","052973b2-8624-4007-8ddb-8e8810801f48",3,2
"1","0534f5c8-709a-410f-94c7-45254a87d294",29,29
"1","0538f8f7-6ed1-4193-9274-21d6fee573a6",1,0
"1","053b446a-ca6b-467c-85b3-1c14a8f2e049",18,18
"1","0540f964-50c1-411c-a1bd-364bd7515f98",39,39
"1","0549379c-0123-423d-a86a-774bf2db1f6b",1,0
"1","054b15d4-a069-44f5-8b5a-5ada82025d65",1,1
"1","054e6817-1ffc-46a5-b24a-ba0055bff721",1,0
"1","055270d4-fe1e-4c40-bc5f-ce1389f53e3b",2,1
"1","0563528b-2477-4948-ac20-ac3b94caadd2",60,60
"1","056c6eed-e589-4f99-9ec3-65f5049be4d2",21,19
"1","056d275e-2ff5-4f6e-8dfb-f67af20a8819",4,4
"1","056e7e7e-8116-46be-92a9-6b075c576f72",60,60
"1","057036a7-a576-4f24-9e71-008c9fcb3f4b",60,60
"1","057d5acf-ddc3-4332-b475-4e9f4211e2df",2,0
"1","058110ac-fb1d-4485-9471-83e1e169c488",1,0
"1","05a815ce-3c40-4005-a3eb-920b13497468",9,7
"1","05ae7df4-00d4-4f3c-8c68-7990d1866fb7",3,2
"1","05b24b47-9bcf-43fb-b6a0-15c1d57d3f02",2,0
"1","05b2adfa-a6ed-47e8-81ef-8389d633417e",4,1
"1","05b48525-25db-488b-8c11-5794ffc8862d",58,58
"1","05b8a96f-9de7-48cd-9bab-dedba666ac58",8,6
"1","05cfaf57-6845-4069-a45c-6e26b2d36bf0",18,18
"1","05d41c4e-e534-4e33-b5b4-dd0cd0403271",8,7
"1","05d85e9d-3d23-448b-abd1-a945f9a1645e",3,0
"1","05dcefaa-6aeb-48f5-ac7f-abddf612fa52",2,1
"1","05dfcea0-48b2-4d01-b398-10f3ae4e3d32",60,60
"1","05e99562-0bc7-46eb-b518-d59876a98e6a",7,5
"1","05eed3bc-5533-4e68-81aa-65aba7668eb2",2,0
"1","06040289-150e-47ff-b4c3-98cd0587c69b",6,6
"1","0607906b-11f7-4f5a-8edf-0898503ff6ed",60,60
"1","0614d3d7-d0c5-4300-b7d0-6018be52c9a4",2,1
"1","06254d86-8e04-44c2-8d12-51f839f7a8c3",20,18
"1","0656c873-a2dd-4034-808a-e2975f1209e4",60,60
"1","0659b4a5-9bc7-4d7b-a251-7089ab027391",4,3
"1","065e74a1-07c7-4720-b57e-e5a212affc28",43,39
"1","0669e3ad-ee4f-4777-952b-a90c352c1193",60,60
"1","067736f1-9842-4ef8-b5f3-6e0a8c633737",2,1
"1","067a246a-0fe3-44a5-a7d6-d8df28cce020",1,0
"1","067acbfd-0d95-4401-9f53-ff19e70def81",29,28
"1","067bce5c-03a2-430a-83a1-3d7b9382f20c",2,1
"1","0683aa40-91a8-4ff3-ab5b-2f97096574fd",60,60
"1","068d5da3-7002-429a-84e1-ca69a602f7af",1,0
