"term","estimate","std_error","z_value","p_value","odds_ratio"
"(Intercept)",-4.30866071089891,0.0782173697255972,-55.0857274543312,0,0.0134515530540336
"steps_completed",0.660670284408425,0.0430050396116961,15.3626247150053,2.91528849344199e-53,1.93608963026735
"steps_visited",-0.53936451138075,0.0423156247001971,-12.7462258965124,3.27206537993483e-37,0.583118699951404
"run3",-4.93206922273719,0.173405700652084,-28.4423707190155,6.05580209320503e-178,0.00721156549660809
"run5",-6.11465805860855,0.23888850670909,-25.5962839855446,1.67802478554044e-144,0.00221023140981972
"run7",-4.50601451041691,0.193694222564745,-23.2635462780038,1.03750115776317e-119,0.0110423818908984
