"run","enrolled","visited_1plus","completed_10pct","completed_50pct","completed_90pct","completed_course","visited_rate","c10_rate","c50_rate","c90_rate","completion_rate"
"1",14394,6258,3453,1928,1491,1803,0.434764485202168,0.239891621508962,0.133944699180214,0.103584827011255,0.125260525218841
"3",3361,2347,1068,589,442,56,0.698304076167807,0.317762570663493,0.175245462659923,0.131508479619161,0.0166617078250521
"5",3544,2708,1189,689,557,22,0.764108352144469,0.335496613995485,0.19441309255079,0.157167042889391,0.00620767494356659
"7",2342,1626,651,333,261,43,0.694278394534586,0.27796754910333,0.142186165670367,0.111443210930828,0.0183603757472246
